date,low_price,high_price,close_price,open_price,volume
2021-04-02 06:35:00,59369.77,59454.27,59433.18,59426.22,4.44904085
2021-04-02 06:36:00,59386.45,59433.18,59401.11,59433.17,3.94354002
2021-04-02 06:37:00,59320.58,59409.1,59337.66,59398.71,7.59343955
2021-04-02 06:38:00,59325.95,59406.3,59406.3,59334.78,5.77419437
2021-04-02 06:39:00,59400.36,59450.0,59431.1,59409.99,11.60047188
2021-04-02 06:40:00,59401.88,59445.81,59404.4,59440.25,5.74449371
2021-04-02 06:41:00,59380.95,59404.4,59380.98,59404.4,1.9660361
2021-04-02 06:42:00,59360.43,59440.98,59440.95,59380.97,4.16684366
2021-04-02 06:43:00,59418.37,59440.98,59440.98,59440.96,2.03146415
2021-04-02 06:44:00,59440.98,59450.0,59445.44,59440.98,0.40899804
2021-04-02 06:45:00,59440.02,59532.9,59532.9,59445.43,6.83604028
2021-04-02 06:46:00,59504.45,59534.13,59534.13,59532.89,1.43707987
2021-04-02 06:47:00,59534.12,59549.0,59548.99,59534.13,0.6704557
2021-04-02 06:48:00,59548.98,59581.6,59572.62,59548.99,12.08891576
2021-04-02 06:49:00,59568.9,59602.04,59593.79,59568.91,2.89858692
2021-04-02 06:50:00,59568.91,59620.03,59573.73,59593.8,2.69657635
2021-04-02 06:51:00,59550.67,59598.76,59550.67,59579.96,3.14746839
2021-04-02 06:52:00,59528.07,59591.13,59578.64,59550.67,5.34874514
2021-04-02 06:53:00,59552.39,59574.64,59559.12,59570.2,2.39063508
2021-04-02 06:54:00,59539.09,59565.48,59545.48,59559.13,2.05296915
2021-04-02 06:55:00,59509.0,59549.34,59530.28,59541.07,5.70718324
2021-04-02 06:56:00,59530.03,59580.87,59580.87,59530.03,1.35155384
2021-04-02 06:57:00,59556.48,59581.37,59569.74,59577.13,0.70108584
2021-04-02 06:58:00,59550.0,59578.41,59550.01,59569.74,2.1928018
2021-04-02 06:59:00,59510.65,59550.01,59510.65,59550.01,4.69440099
2021-04-02 07:00:00,59503.36,59617.53,59602.32,59512.61,2.5632632
2021-04-02 07:01:00,59547.59,59617.52,59604.54,59602.32,10.91559946
2021-04-02 07:02:00,59605.06,59690.54,59681.47,59605.55,17.31113829
2021-04-02 07:03:00,59652.67,59690.11,59652.67,59687.72,3.15097494
2021-04-02 07:04:00,59632.81,59664.64,59661.46,59652.68,2.07820787
2021-04-02 07:05:00,59642.7,59661.46,59657.73,59661.46,6.09558283
2021-04-02 07:06:00,59645.94,59657.73,59653.99,59657.73,3.78490516
2021-04-02 07:07:00,59653.98,59689.99,59689.89,59653.99,6.58603545
2021-04-02 07:08:00,59659.79,59689.89,59660.0,59689.89,5.39901077
2021-04-02 07:09:00,59658.79,59660.0,59658.79,59660.0,1.66232104
2021-04-02 07:10:00,59649.51,59660.0,59650.51,59658.8,2.36608131
2021-04-02 07:11:00,59595.19,59650.51,59609.2,59650.51,9.23898673
2021-04-02 07:12:00,59580.76,59609.2,59583.09,59609.2,2.16939481
2021-04-02 07:13:00,59583.08,59623.84,59583.09,59583.09,1.34323253
2021-04-02 07:14:00,59583.08,59616.35,59596.9,59583.09,3.05018275
2021-04-02 07:15:00,59594.12,59623.28,59612.65,59600.0,1.57038149
2021-04-02 07:16:00,59589.08,59612.64,59589.08,59612.64,3.35060174
2021-04-02 07:17:00,59556.95,59599.0,59599.0,59583.09,6.04249074
2021-04-02 07:18:00,59575.49,59599.0,59576.52,59599.0,1.74158831
2021-04-02 07:19:00,59571.3,59643.94,59593.97,59576.51,11.18321849
2021-04-02 07:20:00,59604.42,59624.57,59622.56,59606.63,1.49068575
2021-04-02 07:21:00,59622.55,59695.54,59695.54,59622.56,10.57121443
2021-04-02 07:22:00,59647.52,59695.54,59662.79,59695.54,11.04597019
2021-04-02 07:23:00,59618.63,59663.28,59618.63,59662.23,2.99700097
2021-04-02 07:24:00,59602.11,59618.63,59609.19,59618.62,2.08197337
2021-04-02 07:25:00,59609.2,59678.51,59678.51,59609.2,3.81588203
2021-04-02 07:26:00,59619.6,59695.54,59674.57,59678.5,11.63226974
2021-04-02 07:27:00,59678.31,59700.74,59700.74,59680.63,8.33789777
2021-04-02 07:28:00,59667.74,59700.73,59695.99,59700.73,1.52130125
2021-04-02 07:29:00,59669.87,59699.0,59689.31,59695.98,7.01491127
2021-04-02 07:30:00,59654.94,59698.33,59675.25,59689.32,3.53684284
2021-04-02 07:31:00,59680.16,59700.0,59699.99,59680.16,1.70400308
2021-04-02 07:32:00,59679.87,59700.0,59685.23,59700.0,1.80627626
2021-04-02 07:33:00,59659.33,59692.3,59659.33,59692.3,1.08229869
2021-04-02 07:34:00,59608.18,59659.34,59616.74,59659.33,1.27692927
2021-04-02 07:35:00,59565.39,59640.31,59582.23,59616.75,3.09671913
2021-04-02 07:36:00,59573.05,59598.74,59573.05,59582.23,0.99177275
2021-04-02 07:37:00,59573.06,59589.18,59583.44,59573.06,1.97349961
2021-04-02 07:38:00,59542.0,59583.45,59542.01,59583.45,5.32177064
2021-04-02 07:39:00,59542.0,59570.01,59555.41,59542.01,2.64846416
2021-04-02 07:40:00,59529.68,59555.4,59547.27,59555.4,2.71174834
2021-04-02 07:41:00,59536.57,59548.68,59544.69,59544.28,4.32041356
2021-04-02 07:42:00,59529.69,59548.66,59530.34,59544.69,3.02727345
2021-04-02 07:43:00,59467.01,59530.34,59472.45,59530.34,6.47569785
2021-04-02 07:44:00,59472.44,59528.9,59519.46,59472.45,9.42599943
2021-04-02 07:45:00,59463.08,59526.92,59503.01,59512.45,18.24756814
2021-04-02 07:46:00,59468.21,59509.72,59493.85,59509.72,5.86868373
2021-04-02 07:47:00,59493.12,59529.21,59512.71,59493.12,7.05526418
2021-04-02 07:48:00,59509.28,59579.39,59577.66,59515.32,7.91082382
2021-04-02 07:49:00,59535.54,59578.94,59566.05,59576.71,4.91947696
2021-04-02 07:50:00,59531.79,59569.12,59535.07,59566.73,2.11416994
2021-04-02 07:51:00,59486.4,59537.61,59505.98,59537.61,13.36955292
2021-04-02 07:52:00,59486.85,59533.41,59520.46,59505.97,5.87873296
2021-04-02 07:53:00,59488.59,59531.39,59531.39,59516.96,6.21184402
2021-04-02 07:54:00,59514.95,59549.95,59548.06,59522.03,9.18009184
2021-04-02 07:55:00,59535.85,59557.53,59549.87,59544.08,7.50395605
2021-04-02 07:56:00,59535.68,59553.51,59547.91,59549.87,11.76590411
2021-04-02 07:57:00,59538.78,59553.29,59551.28,59547.86,8.3158065
2021-04-02 07:58:00,59540.47,59590.0,59567.42,59546.82,9.95481087
2021-04-02 07:59:00,59434.9,59565.93,59434.9,59565.93,7.72912613
2021-04-02 08:00:00,59425.14,59499.49,59499.49,59431.91,4.86435532
2021-04-02 08:01:00,59491.21,59499.49,59493.64,59499.48,0.45423283
2021-04-02 08:02:00,59492.55,59617.74,59560.61,59493.64,5.00844845
2021-04-02 08:03:00,59494.37,59576.65,59528.47,59564.23,3.68681887
2021-04-02 08:04:00,59500.0,59554.01,59548.23,59552.28,4.17831314
2021-04-02 08:05:00,59556.53,59667.12,59590.54,59556.54,5.80127672
2021-04-02 08:06:00,59500.12,59610.31,59500.82,59590.54,3.2056885
2021-04-02 08:07:00,59500.11,59537.38,59500.12,59500.81,1.1200519
2021-04-02 08:08:00,59456.07,59511.57,59498.42,59500.12,7.47539022
2021-04-02 08:09:00,59457.53,59498.04,59486.47,59482.94,4.75939934
2021-04-02 08:10:00,59479.84,59538.37,59494.7,59510.18,4.9555653
2021-04-02 08:11:00,59470.0,59494.71,59477.42,59494.71,0.90181121
2021-04-02 08:12:00,59477.43,59498.65,59496.28,59477.43,0.68919997
2021-04-02 08:13:00,59485.6,59503.45,59485.6,59498.53,1.3516204
2021-04-02 08:14:00,59408.12,59494.62,59455.86,59485.61,3.86962519
2021-04-02 08:15:00,59455.86,59591.04,59591.04,59455.86,1.59915935
2021-04-02 08:16:00,59504.94,59591.04,59540.82,59591.04,1.12016543
2021-04-02 08:17:00,59474.49,59549.96,59474.49,59549.96,0.8565872
2021-04-02 08:18:00,59469.58,59542.75,59539.43,59469.58,0.39387336
2021-04-02 08:19:00,59518.3,59542.15,59542.15,59539.43,0.89723916
2021-04-02 08:20:00,59474.92,59543.66,59491.42,59542.15,1.31082964
2021-04-02 08:21:00,59461.3,59488.8,59475.85,59488.8,1.64202984
2021-04-02 08:22:00,59450.98,59475.84,59460.61,59475.84,0.56727197
2021-04-02 08:23:00,59456.56,59499.79,59499.77,59460.69,1.45671589
2021-04-02 08:24:00,59476.72,59502.13,59501.19,59499.78,1.03901176
2021-04-02 08:25:00,59480.35,59505.7,59487.48,59501.18,0.56822093
2021-04-02 08:26:00,59426.14,59487.87,59450.52,59479.92,1.88607517
2021-04-02 08:27:00,59451.0,59502.99,59499.93,59458.08,1.18888901
2021-04-02 08:28:00,59479.92,59503.0,59491.64,59495.87,1.24259125
2021-04-02 08:29:00,59484.07,59529.87,59529.87,59495.16,0.98982942
2021-04-02 08:30:00,59529.86,59607.49,59565.77,59529.86,5.05225389
2021-04-02 08:31:00,59541.71,59579.74,59563.58,59565.76,0.33563508
2021-04-02 08:32:00,59541.48,59568.89,59552.53,59568.49,0.64647397
2021-04-02 08:33:00,59518.78,59555.0,59526.4,59555.0,1.34491696
2021-04-02 08:34:00,59500.0,59540.24,59505.8,59532.22,0.90339588
2021-04-02 08:35:00,59477.36,59506.38,59499.19,59500.06,0.87942626
2021-04-02 08:36:00,59477.36,59505.96,59485.84,59499.19,0.46529019
2021-04-02 08:37:00,59462.25,59487.9,59474.55,59485.83,1.647848
2021-04-02 08:38:00,59465.84,59484.36,59471.32,59470.12,0.30353328
2021-04-02 08:39:00,59450.01,59467.17,59464.64,59467.17,1.53490952
2021-04-02 08:40:00,59461.96,59498.09,59498.09,59461.96,1.98653882
2021-04-02 08:41:00,59498.09,59539.71,59529.85,59498.1,0.92132105
2021-04-02 08:42:00,59526.06,59532.7,59527.97,59526.07,1.84811712
2021-04-02 08:43:00,59536.27,59541.53,59541.53,59538.76,0.35701234
2021-04-02 08:44:00,59506.07,59541.52,59506.89,59541.52,2.19573346
2021-04-02 08:45:00,59500.0,59529.85,59500.01,59506.92,0.79257333
2021-04-02 08:46:00,59483.67,59506.63,59488.51,59500.01,1.09297809
2021-04-02 08:47:00,59455.69,59488.51,59479.45,59488.5,7.82055951
2021-04-02 08:48:00,59476.0,59484.41,59478.09,59479.45,0.75734759
2021-04-02 08:49:00,59427.62,59493.75,59463.65,59478.08,5.55209635
2021-04-02 08:50:00,59439.56,59465.93,59446.85,59465.93,1.38662695
2021-04-02 08:51:00,59440.77,59450.12,59444.94,59446.85,1.04057926
2021-04-02 08:52:00,59440.44,59489.7,59484.32,59455.16,3.10399096
2021-04-02 08:53:00,59464.68,59484.32,59464.69,59484.32,0.72335853
2021-04-02 08:54:00,59454.5,59529.35,59507.71,59464.68,7.34331087
2021-04-02 08:55:00,59493.83,59541.53,59531.62,59512.53,2.63514069
2021-04-02 08:56:00,59487.79,59529.9,59487.79,59528.9,1.23042538
2021-04-02 08:57:00,59487.79,59499.84,59496.84,59487.79,1.55744894
2021-04-02 08:58:00,59487.98,59496.85,59487.99,59496.85,0.73056981
2021-04-02 08:59:00,59481.26,59487.99,59481.26,59487.99,0.37041786
2021-04-02 09:00:00,59448.12,59481.26,59460.99,59481.26,2.10557358
2021-04-02 09:01:00,59447.66,59515.76,59466.44,59453.97,21.48350092
2021-04-02 09:02:00,59450.0,59463.36,59450.01,59461.11,0.61273955
2021-04-02 09:03:00,59425.0,59450.01,59427.54,59450.01,2.07202092
2021-04-02 09:04:00,59427.54,59492.38,59464.46,59427.54,1.17450706
2021-04-02 09:05:00,59375.0,59454.56,59426.32,59454.56,5.12384252
2021-04-02 09:06:00,59407.17,59473.68,59437.47,59426.31,4.67402283
2021-04-02 09:07:00,59437.46,59449.11,59442.65,59437.47,1.21551656
2021-04-02 09:08:00,59442.36,59452.6,59442.57,59442.65,0.84208183
2021-04-02 09:09:00,59438.73,59466.07,59466.07,59442.66,3.38377093
