begins_at,open_price_x,close_price_x,high_price_x,low_price_x,volume_x,session_x,interpolated_x,symbol_x,open_price_y,close_price_y,high_price_y,low_price_y,volume_y,session_y,interpolated_y,symbol_y
2021-03-21T20:35:00Z,57804.835000,57820.010000,58118.305258,57644.366136,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:40:00Z,57820.010000,57812.610000,58190.530000,57553.270000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:45:00Z,57930.225000,57809.800000,58018.065000,57515.765000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:50:00Z,57689.000000,57798.175000,57975.430000,57629.242957,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T20:55:00Z,57679.690000,57850.710000,58031.510263,57534.160000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:00:00Z,57727.665000,58076.185000,58357.655000,57492.140000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:05:00Z,58076.185000,57887.500000,58295.885000,57594.965000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:10:00Z,58006.805000,57792.365000,58028.995000,57648.400000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:15:00Z,57671.405000,57856.220000,58026.020000,57516.045000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:20:00Z,57977.650000,57851.230000,58029.370000,57615.350220,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:25:00Z,57851.230000,58164.745000,58220.625000,57587.146865,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:30:00Z,57719.023292,57729.967898,57925.590230,57416.608627,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:35:00Z,57724.204379,57997.020851,58006.071214,57612.682474,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:40:00Z,57994.855000,58002.145000,58356.660000,57676.470000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:45:00Z,58002.145000,58002.685000,58269.160000,57519.515000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:50:00Z,58002.685000,58079.915000,58410.735000,57741.420000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T21:55:00Z,58079.915000,58137.260000,58438.530000,57931.915000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:00:00Z,58259.690000,58015.265000,58474.490000,57784.610000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:05:00Z,58015.265000,57985.890000,58158.395000,57644.505000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:10:00Z,57985.890000,57932.140000,58141.975000,57634.275000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:15:00Z,58055.975000,57596.440000,58161.945000,57414.975573,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:20:00Z,57596.440000,57760.650000,58014.170000,57451.815000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:25:00Z,57883.380000,57848.430000,58147.345000,57626.350000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:30:00Z,57848.430000,57816.470000,58216.210000,57664.875000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:35:00Z,57816.470000,57639.450000,58032.345000,57468.925000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:40:00Z,57519.275000,57783.590000,57961.045000,57388.980000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:45:00Z,57663.300000,57764.155000,57974.205000,57451.795000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:50:00Z,57764.155000,57674.510000,57909.745000,57516.715000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T22:55:00Z,57674.510000,57648.670000,58054.980000,57440.595000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:00:00Z,57648.670000,57766.480000,58003.365000,57386.765000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:05:00Z,57887.260000,57601.185000,58100.315000,57455.660000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:10:00Z,57601.185000,57335.060000,57848.570000,57022.225000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:15:00Z,57335.060000,57333.280000,57802.430000,57095.715000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:20:00Z,57318.305000,57503.235000,57818.080000,57266.930000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:25:00Z,57503.235000,57373.850000,57852.865000,57216.243377,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:30:00Z,57373.850000,57530.040000,57695.535000,57208.995000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:35:00Z,57648.805000,57687.475000,57851.145000,57266.257401,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:40:00Z,57687.475000,57573.410000,57882.305000,57243.580000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:45:00Z,57573.410000,57450.845000,57789.965000,57206.460000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:50:00Z,57450.845000,57488.160000,57661.505000,57240.535000,0,reg,False,BTCUSD,,,,,,,,
2021-03-21T23:55:00Z,57609.200000,57404.605000,57659.645000,57216.455000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:00:00Z,57404.605000,57189.385000,57803.110000,57003.260200,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:05:00Z,57189.385000,57135.295000,57539.235000,56830.040000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:10:00Z,57014.600000,57409.890000,57636.450000,56918.080000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:15:00Z,57409.890000,57469.220000,57711.055000,57086.036378,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:20:00Z,57488.450000,57213.470000,57494.595000,57043.950000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:25:00Z,57331.760000,57145.635000,57551.185000,56895.920000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:30:00Z,57027.030000,57360.720000,57464.380000,57008.460000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:35:00Z,57360.720000,57006.830000,57674.935000,56762.685000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:40:00Z,57018.315000,56756.195000,57646.310000,56511.053286,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:45:00Z,56756.195000,56512.425000,57176.515000,56276.085000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T00:50:00Z,56512.425000,56563.590000,57089.215000,56212.015000,0,reg,False,BTCUSD,,,,,,,,
